name, type
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 1 Line,R1
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 2 Lines,R1
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 3 Lines,R1
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 4 Lines,R1
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 5 Line,R1
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 6 Lines,R1
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 7 Lines,R1
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 8 Lines,R1
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 9 Lines,R1
INACTIVE - ACXM Financial > Credit > New Credit Received > $0 - $100,R1
INACTIVE - ACXM Financial > Credit > New Credit Received > $101 - $300,R1
INACTIVE - ACXM Financial > Credit > New Credit Received > $301 - $500,R1
"INACTIVE - ACXM Financial > Credit > New Credit Received > $501 - $1,000",R1
"INACTIVE - ACXM Financial > Credit > New Credit Received > $1,001 - $3,000",R1
"INACTIVE - ACXM Financial > Credit > New Credit Received > $3,001 - $5,000",R1
"INACTIVE - ACXM Financial > Credit > New Credit Received > $5,001 - $9,999",R1
"INACTIVE - ACXM Financial > Credit > New Credit Received > Greater than $9,999",R1
INACTIVE - ACXM Demographic > Net Worth > Under $1,R1
"INACTIVE - ACXM Demographic > Net Worth > $1,000,000 - $1,999,999",R1
"INACTIVE - ACXM Demographic > Net Worth > $2,000,000 +",R1
"INACTIVE - ACXM Demographic > Net Worth > $1 - $100,000",R1
"INACTIVE - ACXM Demographic > Net Worth > $100,000 - $1,000,000",R1
"INACTIVE - ACXM Demographic > Net Worth > Less than $100,000",R1
"INACTIVE - ACXM Demographic > Net Worth > $100,000 - $499,999",R1
"INACTIVE - ACXM Demographic > Net Worth > $500,000 - $999,999",R1
"INACTIVE - ACXM Demographic > Net Worth > $2,000,000 Plus",R1
V12 > CORE > Income Range > A-< $10K,R1
V12 > CORE > Income Range > B-$10K-$19.9K,R1
V12 > CORE > Income Range > C-$20K-$29.9K,R1
V12 > CORE > Income Range > D-$30K-$39.9K,R1
V12 > CORE > Income Range > E-$40K-$49.9K,R1
V12 > CORE > Income Range > F-$50K-$59.9K,R1
V12 > CORE > Income Range > G-$60K-$69.9K,R1
V12 > CORE > Income Range > H-$70K-$79.9K,R1
V12 > CORE > Income Range > I-$80K-$89.9K,R1
V12 > CORE > Income Range > J-$90K-$99.9K,R1
V12 > CORE > Income Range > K-$100K-$149.9K,R1
V12 > CORE > Income Range > L-$150K - $174.9K,R1
V12 > CORE > Income Range > M-$175K-$199.9K,R1
V12 > CORE > Income Range > N-$200K-$249.9K,R1
V12 > CORE > Income Range > O-$250K+,R1
V12 > CORE > Income Range <$30K,R1
V12 > CORE > Income Range $30K-$60K,R1
V12 > CORE > Income Range $61K-$100K,R1
V12 > CORE > Income Range >$100K,R1
V12 > CORE > Investments/Retirement Plans,R1
V12 > CORE > Wealth 0- Lowest Docile,R1
V12 > CORE > Wealth 1- 9Th Docile,R1
V12 > CORE > Wealth 2- 8Th Docile,R1
V12 > CORE > Wealth 3- 7Th Docile,R1
V12 > CORE > Wealth 4- 6Th Docile,R1
V12 > CORE > Wealth 5- 5Th Docile,R1
V12 > CORE > Wealth 6- 4Th Docile,R1
V12 > CORE > Wealth 7- 3Rd Docile,R1
V12 > CORE > Wealth 8- 2Nd Docile,R1
V12 > CORE > Wealth 9- Top Docile,R1
V12 > B2B SEGMENTS > Sic4-industry = National Commercial Banks,R1
V12 > B2B SEGMENTS > Sic4-industry = State Commercial Banks,R1
V12 > B2B SEGMENTS > Sic4-industry = Federal Savings Institutions,R1
V12 > B2B SEGMENTS > Sic4-industry = State Credit Unions,R1
V12 > B2B SEGMENTS > Sic4-industry = Personal Credit Institutions,R1
V12 > B2B SEGMENTS > Sic4-industry = Miscellaneous Business Credit,R1
V12 > B2B SEGMENTS > Sic4-industry = Loan Brokers,R1
V12 > B2B SEGMENTS > Sic4-industry = Title Insurance,R1
V12 > B2B SEGMENTS > Sic4-industry = Title Abstract Offices,R1
"V12 > B2B SEGMENTS > Sic4-industry = Holding Companies, Nec",R1
"V12 > B2B SEGMENTS > Sic4-industry = Trusts, Nec",R1
V12 > B2B SEGMENTS > Sic4-industry = Real Estate Investment Trusts,R1
V12 > B2B SEGMENTS > Sic4-industry = Tax Return Preparation Services,R1
V12 > NEW VOTER & INCOME > Income Range > $1MM-1.99MM,R1
V12 > NEW VOTER & INCOME > Income Range > $2MM+,R1
"Stirista > Consumer > Estimated Household Income > Under $10,000 HHI",R1
"Stirista > Consumer > Estimated Household Income > $10,000-$14,999 HHI",R1
"Stirista > Consumer > Estimated Household Income > $15,000-$19,999 HHI",R1
"Stirista > Consumer > Estimated Household Income > $20,000-$24,999 HHI",R1
"Stirista > Consumer > Estimated Household Income > $25,000-$29,999 HHI",R1
